id,Communes,Count,Norme_max_calc,Norme_min_calc,Norme_min,Norme_max,Cartodb_id,Echelle
1,Beaufort,2,-6.9,-18.4,,,52,4
2,Beckerich,17,547,-1.4,,,95,4
3,Bertrange,17,221,-6.1,,,35,7
4,Bettembourg,4,76,-0.8,,,29,8
5,Betzdorf,5,5.7,-7.1,,,47,5
6,Bissen,8,20,-8.7,,,72,4
7,Biwer,2,48,1.8,,,49,2
8,Boevange-sur-Attert,5,198,0,,,75,3
9,Boulaide,1,-2.5,-2.5,,,100,0
10,Bous,5,20,-4.9,,,16,1
11,Clervaux,4,229,-1.2,,,88,6
12,Colmar-Berg,3,58,-0.1,,,74,3
13,Contern,3,32,-31.6,,,39,5
14,Diekirch,10,132,-17.5,,,63,7
15,Differdange,78,221,-16.6,,,11,8
16,Dudelange,3,3.5,-1.5,,,6,8
17,Ell,8,100,-8.5,,,96,1
18,Erpeldange,7,44,-4.9,,,62,4
19,Esch-sur-Alzette,39,168,-18.9,,,1,8
20,Esch-sur-Sure,5,1.5,-1.9,,,99,4
21,Ettelbruck,13,160,-11.7,,,67,7
22,Feulen,4,117,-1.6,,,65,2
23,Frisange,1,-0.3,-0.3,,,7,5
24,Garnich,1,-2.1,-2.1,,,26,3
25,Grevenmacher,13,159,-2.7,,,46,6
26,Grosbous,2,117,1.2,,,89,0
27,Heffingen,3,54,0.4,,,77,1
28,Hesperange,15,65,-10.9,,,36,8
29,Hobscheid,3,1.7,-2.5,,,22,5
30,Junglinster,1,0.7,0.7,,,48,7
31,Kaerjeng,10,189,-9.2,,,27,8
32,Kayl,5,157,-2.2,,,5,7
33,Kehlen,12,220,-0.5,,,31,6
34,Koerich,2,0.8,0.5,,,25,3
35,Kopstal,4,0.3,-6.1,,,32,5
36,"Lac de la Haute-Sure",1,0.4,0.4,,,102,2
37,Larochette,2,0.7,-0.2,,,73,3
38,Lenningen,3,0.5,-4.1,,,21,2
39,Leudelange,4,139,-0.9,,,8,3
40,Lintgen,2,2,-2,,,78,4
41,Lorentzweiler,10,3.7,-17.4,,,76,5
42,Luxembourg,110,93,-14.9,,,13,8
43,Mamer,19,204,-11.3,,,33,7
44,Manternach,3,53,2.1,,,50,2
45,Mersch,5,116,-2.2,,,70,7
46,Mertert,3,22,-20.9,,,51,6
47,Mertzig,4,25,-9.6,,,64,3
48,Mompach,3,-0.5,-3.3,,,58,1
49,Mondercange,3,41,-14,,,2,7
50,Mondorf-les-Bains,8,216,-22.3,,,19,6
51,Niederanven,23,35,-22.6,,,41,6
52,Nommern,1,-2,-2,,,71,1
53,Petange,54,147,-15.8,,,12,8
54,Preizerdaul,6,117,-11.8,,,91,1
55,Rambrouch,8,204,-6.7,,,97,5
56,Reisdorf,1,-13.9,-13.9,,,56,0
57,Remich,3,1.9,-3.3,,,18,5
58,Roeser,4,3.4,-1,,,30,6
59,Saeul,3,60,1.2,,,94,0
60,Sandweiler,3,4.8,-1.2,,,38,5
61,Sanem,16,139,-3,,,10,8
62,Schengen,1,4.6,4.6,,,20,6
63,Schieren,6,5.8,-2,,,69,2
64,Schifflange,8,20,-17.5,,,3,7
65,Schuttrange,15,234,-15,,,40,5
66,Septfontaines,1,29,29,,,23,0
67,Stadtbredimus,1,-4.1,-4.1,,,17,2
68,Steinfort,2,62,-1.9,,,24,6
69,Steinsel,12,20,-1.9,,,42,6
70,Strassen,6,5.7,-3.2,,,34,7
71,Tandel,2,33,-0.3,,,81,2
72,Troisvierges,3,67,0.5,,,85,4
73,Tuntange,3,1.2,-5.5,,,80,1
74,Useldange,11,159,-4.2,,,93,2
75,"Vallee de l'Ernz",3,199,-2.2,,,61,4
76,Vichten,8,60,-6.1,,,92,0
77,Wahl,2,514,-12.9,,,90,0
78,Waldbillig,1,1.1,1.1,,,60,1
79,Waldbredimus,2,5.4,-2,,,15,0
80,Walferdange,19,52,-13.4,,,43,7
81,Weiler-la-Tour,1,-1.3,-1.3,,,37,3
82,Weiswampach,2,26,4,,,86,1
83,Wiltz,4,49,-4.9,,,103,7
84,Wormeldange,2,-11,-12.1,,,44,4
