Id,Communes,Cantons,Population,Cartodb_id
1,Luxembourg,Luxembourg,103641,13
2,Esch-sur-Alzette,Esch-sur-Alzette,31898,1
3,Differdange,Esch-sur-Alzette,22769,11
4,Dudelange,Esch-sur-Alzette,19292,6
5,Petange,Esch-sur-Alzette,16762,12
6,Sanem,Esch-sur-Alzette,14832,10
7,Hesperange,Luxembourg,14027,36
8,Bettembourg,Esch-sur-Alzette,9952,29
9,Kaerjeng,Capellen,9722,27
10,Schifflange,Esch-sur-Alzette,9134,3
11,Mersch,Mersch,8467,70
12,Ettelbruck,Diekirch,8095,67
13,Kayl,Esch-sur-Alzette,7934,5
14,Mamer,Capellen,7857,33
15,Strassen,Luxembourg,7699,34
16,Walferdange,Luxembourg,7563,43
17,Junglinster,Grevenmacher,6630,48
18,Diekirch,Diekirch,6518,63
19,Bertrange,Luxembourg,6435,35
20,Mondercange,Esch-sur-Alzette,6280,2
21,Wiltz,Wiltz,6087,103
22,Niederanven,Luxembourg,5552,41
23,Roeser,Esch-sur-Alzette,5432,30
24,Echternach,Echternach,5367,59
25,Rumelange,Esch-sur-Alzette,5168,4
26,Kehlen,Capellen,5099,31
27,Steinsel,Luxembourg,4866,42
28,Clervaux,Clervaux,4603,88
29,Steinfort,Capellen,4576,24
30,Grevenmacher,Grevenmacher,4526,46
31,Mondorf-les-Bains,Remich,4446,19
32,Schengen,Remich,4223,20
33,Mertert,Grevenmacher,4145,51
34,Rambrouch,Redange,4025,97
35,Wincrange,Clervaux,3944,87
36,Frisange,Esch-sur-Alzette,3884,7
37,Schuttrange,Luxembourg,3826,40
38,Dippach,Capellen,3727,28
39,Lorentzweiler,Mersch,3586,76
40,Contern,Luxembourg,3517,39
41,Betzdorf,Grevenmacher,3467,47
42,Remich,Remich,3442,18
43,Sandweiler,Luxembourg,3306,38
44,Hobscheid,Capellen,3239,22
45,Kopstal,Capellen,3167,32
46,Parc Hosingen,Clervaux,3111,84
47,Troisvierges,Clervaux,3017,85
48,Bissen,Mersch,2794,72
49,Lintgen,Mersch,2734,78
50,Vallee de L'Ernz,Diekirch,2431,61
51,Esch-sur-Sure,Wiltz,2418,99
52,Redange-sur-Attert,Redange,2631,98
53,Bettendorf,Diekirch,2614,68
54,Wormeldange,Grevenmacher,2502,44
55,Beckerich,Redange,2383,95
56,Beaufort,Echternach,2372,52
57,Erpeldange,Diekirch,2337,62
58,Koerich,Capellen,2294,25
59,Leudelange,Esch-sur-Alzette,2241,8
60,Reckange-sur-Mess,Esch-sur-Alzette,2179,9
61,Boevange-sur-Attert,Mersch,2179,75
62,Rosport,Echternach,2097,57
63,Larochette,Mersch,2051,73
64,Weiler-la-Tour,Luxembourg,2032,37
65,Colmar-Berg,Mersch,2006,74
66,Dalheim,Remich,1995,14
67,Consdorf,Echternach,1827,53
68,Garnich,Capellen,1931,26
69,Mertzig,Diekirch,1912,64
70,Berdorf,Echternach,1882,55
71,Flaxweiler,Grevenmacher,1828,45
72,Manternach,Grevenmacher,1824,50
73,Vianden,Vianden,1809,82
74,Tandel,Vianden,1772,81
75,Lenningen,Remich,1739,21
76,Biwer,Grevenmacher,1741,49
77,Schieren,Diekirch,1683,69
78,Lac de la Haute-Sure,Wiltz,1606,102
79,Stadtbredimus,Remich,1601,17
80,Feulen,Diekirch,1587,65
81,Useldange,Redange,1575,93
82,Bourscheid,Diekirch,1501,66
83,Preizerdaul,Redange,1469,91
84,Weiswampach,Clervaux,1440,86
85,Bous,Remich,1434,16
86,Waldbillig,Echternach,1390,60
87,Tuntange,Mersch,1364,80
88,Goesdorf,Wiltz,1341,101
89,Mompach,Echternach,1181,58
90,Bech,Echternach,1160,54
91,Nommern,Mersch,1144,71
92,Heffingen,Mersch,1127,77
93,Ell,Redange,1125,96
94,Reisdorf,Diekirch,1077,56
95,Winseler,Wiltz,1073,104
96,Kiischpelt,Wiltz,1071,105
97,Putscheid,Vianden,1040,83
98,Boulaide,Wiltz,1022,100
99,Fischbach,Mersch,1016,79
100,Vichten,Redange,1013,92
101,Waldbredimus,Remich,965,15
102,Grosbous,Redange,892,89
103,Wahl,Redange,870,90
104,Septfontaines,Capellen,822,23
105,Saeul,Redange,714,94
