Nom,NomLuxembourgeois,Commune
Abweiler,Obeler,Bettembourg
Ahn,Ohn,Wormeldange
Allerborn,Allerbur,Wincrange
Alscheid,Alschent,Kiischpelt
Altlinster,Allenster,Junglinster
Altrier,Altreier,Bech
Altwies,Altwis,Mondorf-les-Bains
Alzingen,Alzeng,Hesperange
Angelsberg,Aangelsbierg,Fischbach
Ansembourg,Aansebuerg,Tuntange
Arsdorf,Uerschdref,Rambrouch
Aspelt,Uespelt,Frisange
Assel,Aassel,Bous
Asselborn,Aasselbur,Wincrange
Basbellain,Kierchen,Troisvierges
Bascharage,Nidderkaerjeng,Kaerjeng
Baschleiden,Baschelt,Boulaide
Bastendorf,Baastenduerf,Tandel
Bavigne,Beiwen,Lac de la Haute-Sure
Beaufort,Beefort,Beaufort
Bech,Bech,Bech
Bech-Kleinmacher,Bech-Maacher,Schengen
Beckerich,Biekerech,Beckerich
Beidweiler,Beidler,Junglinster
Beiler,Beeler,Weiswampach
Belvaux,Bieles,Sanem
Berbourg,Berbuerg,Manternach
Berchem,Bierchem,Roeser
Berdorf,Baerdref,Berdorf
Bereldange,Bareldeng,Walferdange
Berg,Bierg,Betzdorf
Bergem,Biergem,Mondercange
Beringen,Biereng,Mersch
Berle,Barel,Winseler
Berschbach,Bierschbesch,Mersch
Bertrange,Bartreng,Bertrange
Bettange-sur-Mess,Betten op der Mess,Dippach
Bettborn,Bieberech,Preizerdaul
Bettel,Bettel,Tandel
Bettembourg,Beetebuerg,Bettembourg
Bettendorf,Bettenduerf,Bettendorf
Betzdorf,Betzder,Betzdorf
Beyren,Beiren,Flaxweiler
Bigelbach,Bigelbaach,Reisdorf
Bigonville,Bungeref,Rambrouch
Bilsdorf,Bilschdref,Rambrouch
Binsfeld,Benzelt,Weiswampach
Bissen,Biissen,Bissen
Bivange,Beiweng,Roeser
Bivels,Biwels,Putscheid
Biwer,Biwer,Biwer
Biwisch,Biwwesch,Troisvierges
Blaschette,Blaaschent,Lorentzweiler
Bockholtz,Boukels,Goesdorf
Bockholtz,Bukels,Parc Hosingen
Boevange,Beigen,Wincrange
Boevange-sur-Attert,Beiwen-Atert,Boevange-sur-Attert
Bofferdange,Bouferdeng,Lorentzweiler
Bollendorf-Pont,Bollenduerferbreck,Berdorf
Bonnal,Bommel,Esch-sur-Sure
Born,Bur,Mompach
Boudler,Buddeler,Biwer
Boulaide,Bauschelt,Boulaide
Bour,Bur,Tuntange
Bourglinster,Buerglenster,Junglinster
Bourscheid,Buerschent,Bourscheid
Bous,Bus,Bous
Boxhorn,Boxer,Wincrange
Brachtenbach,Bruechtebaach,Wincrange
Brandenbourg,Branebuerg,Tandel
Brattert,Brattert,Wahl
Breidfeld,Breedelt,Weiswampach
Breidweiler,Bradeler,Consdorf
Breinert,Breinert,Biwer
Bridel,Briddel,Kopstal
Brouch,Bruch,Biwer
Brouch,Bruch,Boevange-sur-Attert
Budersberg,Butschebuerg,Dudelange
Buderscheid,Bitscht,Goesdorf
Burden,Biirden,Erpeldange
Burmerange,Biermereng,Schengen
Buschdorf,Beschdref,Boevange-sur-Attert
Buschrodt,Beschrued,Wahl
Calmus,Kaalmes,Saeul
Canach,Kanech,Lenningen
Capellen,Kapellen,Mamer
Christnach,Chreschtnech,Waldbillig
Clemency,Kenzeg,Kaerjeng
Clervaux,Klierf,Clervaux
Colmar-Berg,Kolmer-Bierg,Colmar-Berg
Colpach-Bas,Nidderkolpech,Ell
Colpach-Haut,Uewerkolpech,Ell
Consdorf,Konsdref,Consdorf
Consthum,Konstem,Parc Hosingen
Contern,Konter,Contern
Crauthem,Krautem,Roeser
Cruchten,Kruuchten,Nommern
Dahl,Dol,Goesdorf
Dahlem,Duelem,Garnich
Dalheim,Duelem,Dalheim
Deiffelt,Deewelt,Wincrange
Dellen,Dellen,Grosbous
Derenbach,Deierbech,Wincrange
Dickweiler,Dickweiler,Rosport
Diekirch,Dikrech,Diekirch
Differdange,Deifferdeng,Differdange
Dillingen,Deiljen,Beaufort
Dippach,Dippech,Dippach
Dirbach,Dirbech,Bourscheid
Doennange,Dianjen,Wincrange
Doncols,Donkels,Winseler
Dondelange,Dondel,Kehlen
Dorscheid,Duerscht,Parc Hosingen
Drauffelt,Draufelt,Clervaux
Drinklange,Drenkelt,Troisvierges
Dudelange,Diddeleng,Dudelange
Echternach,Iechternach,Echternach
Ehlange-sur-Mess,Eileng,Reckange-sur-Mess
Ehlerange,Eilereng,Sanem
Ehnen,Einen,Wormeldange
Ehner,Iener,Saeul
Eischen,Aischen,Hobscheid
Eisenborn,Eesebur,Junglinster
Ell,Ell,Ell
Ellange,Elleng,Mondorf-les-Bains
Elvange,Ielwen,Beckerich
Elvange,Elveng,Schengen
Emerange,Eimereng,Schengen
Enscherange,Aischer,Kiischpelt
Eppeldorf,Eppelduerf,Vallee de l'Ernz
Ermsdorf,Iermsdref,Vallee de l'Ernz
Ernster,Iernster,Niederanven
Ernzen,Iernzen,Larochette
Erpeldange,Ierpeldeng,Erpeldange
Erpeldange,Ierpeldeng,Bous
Erpeldange,Ierpeldeng,Wiltz
Ersange,Ierseng,Waldbredimus
Eschdorf,Eschduerf,Esch-sur-Sure
Eschette,Eischent,Rambrouch
Esch-sur-Alzette,Esch-Uelzecht,Esch-sur-Alzette
Esch-sur-Sure,Esch-Sauer,Esch-sur-Sure
Eschweiler,Eeschler,Junglinster
Eschweiler,Eschweiler,Wiltz
Eselborn,Eeselbur,Clervaux
Ettelbruck,Ettelbreck,Ettelbruck
Everlange,Iewerleng,Useldange
Fennange,Fenneng,Bettembourg
Fentange,Fenteng,Hesperange
Filsdorf,Felschdref,Dalheim
Findel,Findel,Sandweiler
Fingig,Fengeg,Kaerjeng
Fischbach,Feschbech,Clervaux
Fischbach,Feschbech,Fischbach
Flaxweiler,Fluessweller,Flaxweiler
Foetz,Feiz,Mondercange
Folkendange,Folkendeng,Vallee de l'Ernz
Folschette,Foulscht,Rambrouch
Fouhren,Furen,Tandel
Frisange,Freiseng,Frisange
Garnich,Garnech,Garnich
Gilsdorf,Gilsdref,Bettendorf
Girst,Giischt,Rosport
Godbrange,Guedber,Junglinster
Goeblange,Giewel,Koerich
Goedange,Geidgen,Troisvierges
Goesdorf,Geisdref,Goesdorf
Goetzingen,Getzen,Koerich
Gonderange,Gonnereng,Junglinster
Gosseldange,Gousseldeng,Lintgen
Gostingen,Gouschteng,Flaxweiler
Gralingen,Grooljen,Putscheid
Grand-Bevange,Groussbeiweng,Garnich
Grass,Grass,Steinfort
Graulinster,Grolenster,Bech et Junglinster
Greisch,Graisch,Septfontaines
Greiveldange,Greiweldeng,Stadtbredimus
Grevels,Greiwels,Wahl
Grevenknapp,Greiweknapp,Boevange-sur-Attert
Grevenmacher,Greiwemaacher,Grevenmacher
Grindhausen,Grandsen,Clervaux
Grosbous,Groussbus,Grosbous
Grummelscheid,Gremmelescht,Winseler
Grundhof,Grondhaff,Beaufort et Berdorf
Hachiville,Helzen,Wincrange
Hagelsdorf,Haastert,Biwer
Hagen,Hoen,Steinfort
Haller,Haler,Waldbillig
Hamiville,Heesdref,Wincrange
Harlange,Harel,Lac de la Haute-Sure
Hassel,Haassel,Weiler-la-Tour
Haut-Martelange,Uewermaarteleng,Rambrouch
Hautbellain,Beessleck,Troisvierges
Hautcharage,Uewerkaerjeng,Kaerjeng
Heffingen,Hiefenech,Heffingen
Heiderscheid,Heischent,Esch-sur-Sure
Heiderscheidergrund,Heischtergronn,Esch-sur-Sure
Heinerscheid,Hengescht,Clervaux
Heisdorf,Heeschdref,Steinsel
Heispelt,Heeschpelt,Wahl
Hellange,Helleng,Frisange
Helmdange,Hielem,Lorentzweiler
Helmsange,Helsem,Walferdange
Hemstal,Hemstel,Bech
Herborn,Hierber,Mompach
Hesperange,Hesper,Hesperange
Hinkel,Henkel,Rosport
Hivange,Heiweng,Garnich
Hobscheid,Habscht,Hobscheid
Hoesdorf,Heischdref,Reisdorf
Hoffelt,Houfelt,Wincrange
Hollenfels,Huelmes,Tuntange
Holler,Holler,Weiswampach
Holtz,Holz,Rambrouch
Holzem,Holzem,Mamer
Holzthum,Holztem,Parc Hosingen
Hoscheid,Houschent,Parc Hosingen
Hosingen,Housen,Parc Hosingen
Hostert,Hueschtert,Niederanven
Hostert,Hueschtert,Rambrouch
Hovelange,Huewel,Beckerich
Howald,Houwald,Hesperange
Huldange,Huldang,Troisvierges
Huncherange,Henchereng,Bettembourg
Hunsdorf,Hensdref,Lorentzweiler
Hupperdange,Hepperdang,Clervaux
Huttange,Hitten,Beckerich
Imbringen,Amber,Junglinster
Ingeldorf,Angelduerf,Erpeldange
Insenborn,Ensber,Esch-sur-Sure
Itzig,Izeg,Hesperange
Junglinster,Jonglenster,Junglinster
Kahler,Koler,Garnich
Kalborn,Kaalber,Clervaux
Kapweiler,Kapweller,Saeul
Kaundorf,Kauneref,Lac de la Haute-Sure
